number,value,params_activation,params_dropout_rate,params_filters_l0,params_filters_l1,params_filters_l2,params_filters_l3,params_filters_l4,params_lr,params_num_conv_layers,params_pool_type,params_use_batchnorm,params_use_dropout,state
0,3.4013724645520855,ReLU,0.3489042492692361,64,128,64,16.0,64.0,0.0013131277414448425,5,avg,False,True,COMPLETE
1,3.2693455537024736,LeakyReLU,0.30123358743743767,16,64,16,32.0,,0.001164101475971598,4,max,False,True,COMPLETE
2,3.250410963981522,LeakyReLU,0.2792678080786809,16,32,16,32.0,,0.00012418775021016073,4,avg,False,False,COMPLETE
3,3.2629670351531974,ReLU,0.3605357271535399,16,16,64,128.0,,0.0007077004263509089,4,max,False,True,COMPLETE
4,3.23766189449448,LeakyReLU,0.12737232763646789,128,64,128,128.0,,0.009305250219462408,4,avg,True,True,COMPLETE
5,3.0288227793505733,ReLU,0.33941596566737375,16,64,16,128.0,64.0,0.00024580622924359497,5,avg,True,False,COMPLETE
6,3.243599057231447,LeakyReLU,0.22113990886411516,16,64,16,,,0.007122508287982212,3,max,True,True,COMPLETE
7,3.576452304572333,ReLU,0.4245731026877477,16,16,32,16.0,16.0,0.00012597344634469694,5,avg,True,True,COMPLETE
8,2.948645021265696,ReLU,0.12601059644357002,32,128,128,32.0,,0.001260460839032338,4,max,False,True,COMPLETE
9,2.9524988649785096,ReLU,0.271304331844547,16,128,128,,,0.0005647481368703573,3,max,False,False,COMPLETE
10,3.6471054974724266,GELU,0.1190103829497822,32,128,128,,,0.0036773179522995854,3,max,False,False,COMPLETE
11,2.9292250034584852,ReLU,0.220034228370277,32,128,128,,,0.00045794212498554137,3,max,False,False,COMPLETE
12,2.992085668504763,GELU,0.18197154677095445,32,128,128,,,0.0003176145314636059,3,max,False,False,COMPLETE
13,3.0756214333718797,ReLU,0.18609370184527418,32,128,128,,,0.0024412894000233006,3,max,False,False,COMPLETE
14,3.2027548128449466,ReLU,0.21044043671615503,32,32,32,64.0,,0.0018977855878750212,4,max,False,True,COMPLETE
15,2.9094630808070088,ReLU,0.10211101717186682,32,128,128,32.0,,0.00041692682171497165,4,max,False,False,COMPLETE
16,2.9989430979592924,GELU,0.47840948103814196,128,128,128,,,0.0003391086590948151,3,max,False,False,COMPLETE
17,2.7607145144133853,ReLU,0.23418785653156296,64,128,128,64.0,128.0,0.0005123944286710054,5,max,False,False,COMPLETE
18,2.925589235982762,ReLU,0.16078434190065052,64,32,64,64.0,128.0,0.0001723609170012764,5,max,True,False,COMPLETE
19,2.812315010489236,GELU,0.24930824286852377,64,16,32,64.0,128.0,0.0006691899655475527,5,max,False,False,COMPLETE
20,2.791578619681356,GELU,0.2444294577772941,64,16,32,64.0,128.0,0.0007628062157897803,5,max,False,False,COMPLETE
21,2.757188739001531,GELU,0.2503621278254025,64,16,32,64.0,128.0,0.0007537804268468385,5,max,False,False,COMPLETE
22,2.810424245328651,GELU,0.3123667344538317,64,16,32,64.0,128.0,0.0008035428874022889,5,max,False,False,COMPLETE
23,3.0065672176065146,GELU,0.23678330586047588,64,16,32,64.0,32.0,0.00024935050084072037,5,max,False,False,COMPLETE
24,2.8565744701926428,GELU,0.2636958660735538,64,16,32,64.0,128.0,0.0018694682812392005,5,max,False,False,COMPLETE
25,2.733316818805336,GELU,0.4043495926625114,64,16,32,64.0,128.0,0.0009069022999931017,5,max,False,False,COMPLETE
26,2.9111168447561173,GELU,0.4074615448029688,64,16,32,64.0,128.0,0.0033447706443813143,5,avg,True,False,COMPLETE
27,2.786143895610214,GELU,0.49027128816521515,64,16,32,64.0,128.0,0.0009482617199867853,5,max,False,False,COMPLETE
28,2.937810686983551,GELU,0.38989851985774016,64,16,32,64.0,32.0,0.0005279736620674759,5,max,False,False,COMPLETE
29,3.04354322671416,GELU,0.43936359862300106,64,32,64,16.0,16.0,0.0018904759298950843,5,avg,False,False,COMPLETE
